lp_id,product_name,count_state_product
95731,Google,401377
13496,Wikipedia,54873
69863,Chrome Web Store,54426
29322,Khan Academy,51944
61945,Zoom,51540
98265,Quizlet,50328
65277,TeachersPayTeachers,49492
16633,CNN Student News,49191
13699,Weebly,49146
64948,Prodigy,48865
50479,ABCya!,48276
24711,Kahoot!,48264
16164,nytimes.com,48081
15254,MIT App Inventor,47128
51340,Grammarly,47024
36692,Epic! - Unlimited Books for Kids,46956
10533,Scholastic,46218
57084,CoolMath Games,46058
72468,Microsoft Outlook,45408
47364,Canvas,44948
36620,Disney+,44776
64947,Desmos,43655
80144,Quora,43178
69429,WordPress,42945
86059,Thesaurus.com,42932
19044,Flipgrid,42869
76649,Clever,42453
43491,Duolingo,42297
76214,Quizizz,42258
16406,Google Translate,42157
30851,Google Chrome,42052
77698,Goodreads,41692
54430,Encyclopedia Britannica,41557
98845,Meet,41459
55450,Spotify: Music and podcasts,41417
65797,Google Drawings,41366
60825,Study.com,41156
88925,Google Expeditions,40821
52175,The Washington Post KidsPost,40759
55589,BrainPOP,40213
85975,Code.org,40141
97280,Newsela,40121
80616,IXL Math,40060
17941,Kids A-Z,39774
92867,Math Playground,39740
71805,Scratch,38981
41587,LinkedIn,38697
73101,Padlet,38643
16401,PBS,38385
14168,Dictionary.com,38137
35971,Edpuzzle,38035
93742,TypingClub,37286
64915,ReadWorks,36600
92844,Typing.com,36534
65358,Prezi,36497
79673,Zendesk,36290
73952,McGraw-Hill Education,36267
46123,College Board,36266
26753,Vimeo,36126
15225,Dictionary - Merriam-Webster,36123
51853,PBS Kids,35996
37479,Frontline Education,35932
49571,Education.com,35650
72713,Google Books,35619
54827,SoundCloud,35565
61384,XtraMath,35383
47267,ClassDojo,35282
86703,GoNoodle,34948
49751,SparkNotes,34708
26372,OverDrive Education,34580
48333,Google Hangouts,34528
26533,Screencastify,34461
38871,Google Workspace,34457
76122,Canva,34302
80560,Nitro Type,34034
98001,Dropbox,33532
37017,Pixlr,33319
64838,Starfall,33061
52196,BrainPOP Jr.,33015
85991,Microsoft Office 365,32893
23483,Purdue Online Writing Lab,32809
55031,Nearpod,32693
32340,Education Genius,32661
95859,Remind,32616
11206,Google Earth,32575
54110,Pandora,32513
75206,IXL,32511
94058,Course Hero,32391
58235,TedEd,32250
83862,Raz-Kids,32053
61292,YouTube,32026
83394,Yelp,32002
52615,Mystery Science,31665
59304,WeAreTeachers,31450
78818,eNotes,31340
68845,Flipgrid One,31238
92871,PowerSchool,31185
29286,Socratic,31056
45005,GitHub,31006
35201,Symbolab,30625
67035,CommonLit,30427
85682,Qualtrics,30328
57949,Mathway,30239
41424,Common App,30166
11286,ABC News,30131
14124,Tumblr,30113
86575,PBS LearningMedia,30086
88885,Lumen Learning,30056
40928,Pear Deck,30041
94324,WeVideo for Schools,29962
26696,SurveyMonkey,29845
86775,WordReference.com,29809
33562,IXL Language,29767
91030,Brainly,29645
31956,AP Central,29389
84652,CK-12,29293
62538,Bitmoji,29286
10650,Library of Congress,29196
52758,Adobe Character Animator,29190
33326,Ducksters,29133
12803,SlideShare,28842
25793,Wix,28791
57724,EasyBib,28544
49050,Freckle by Renaissance,28530
50104,Chegg,28523
92918,College Compass,28328
87342,LitCharts,28296
48708,Storyline Online,28037
14769,Vocabulary Spelling City,28000
25559,Lexia Core5 Reading,27730
98102,Boom Cards by Boom Learning,27331
11237,online-stopwatch.com,27174
62934,NoRedInk,27160
66933,ABCmouse.com,26868
13117,SplashLearn,26831
56441,Audible,26827
33624,HowStuffWorks,26790
76889,Blackboard,26728
28199,iHeartRadio,26565
68490,Wikimedia Commons,26542
56028,Shmoop,26351
96706,MindTap,26262
49062,Quia Web,26109
29158,Storyworks,26048
95967,Live Science,25987
33946,JSTOR,25982
39623,SpanishDict,25926
18663,AdaptedMind,25895
23644,ThoughtCo,25882
44025,Soundtrap,25778
28701,Lumin PDF,25609
34887,Naviance,25554
18904,Instructables,25542
53399,Adobe Spark Page,25441
91165,MobyMax,25425
18090,Minecraft,25402
84007,Reading A-Z,25339
83270,Google Arts & Culture,25312
97209,Adobe Spark,25221
80972,ExploreLearning,25079
29790,Hooda Math,24859
59434,Seesaw : The Learning Journal,24632
68019,ConnectED,24493
90929,Gimkit,24476
57293,Penn State World Campus,24185
13983,Facebook,24184
86294,Kiddle,23903
16468,National Archives,23864
16753,Flocabulary,23819
61441,i-Ready,23735
94158,CoolMath,23580
87762,Grammarly for Chrome,23437
18697,College Board AP Classroom,23295
49521,HP,23276
50168,Houghton Mifflin Harcourt,23261
70878,CHROME MUSIC LAB,23205
31827,Microsoft OneDrive,23194
50762,Internet Archive,23035
49687,Snapchat,22848
20069,Schoology,22774
51288,Eventbrite,22732
77713,Gale Presents: Peterson's Test Prep,22532
92894,MarketWatch,22449
50692,SchoolMessenger,22387
11406,WyzAnt,22343
32050,WebEx,22315
63335,Math Games (MathGames),22291
78730,MaxPreps: Connecticut,21996
82101,Time,21987
37153,Zearn,21708
95253,Edgenuity,21648
93256,Scitable,21612
41581,Tynker,21599
61517,Â¡Avancemos!,21595
89802,Bartleby,21523
24342,AP Images Collection,21511
64581,Hulu,21408
28456,SmartMusic,21263
30008,Google Groups,21218
26491,Answers,21030
53775,Google Play Music,20964
50282,SafeShare,20928
29921,Learning A-Z,20870
81654,Tinkercad,20799
26512,Multiplication.com,20690
25267,Discovery Education - Science TechBook,20675
20677,remove.bg,20627
36859,Instagram,20588
92993,ALEKS,20450
49570,Ptable,20418
50712,Earthquakes for Kids,20401
96116,CliffsNotes,20341
42608,Raz-Plus,20224
93690,Calculator.com,20208
70740,Screencast-O-Matic,20153
83076,GeoGebra,19860
89267,Wiley,19793
47261,Funbrain,19786
25585,Leveled Literacy Intervention,19727
17920,Interland,19584
55032,ASCD Professional Development Tools,19572
49563,Book Creator,19546
94264,The Physics Classroom,19286
85072,Space.com,19274
24120,Edulastic,19258
22856,Fluency Tutor,19147
21917,Google Voice,19064
63740,Generation Genius,19054
55355,ReadWriteThink,18893
28467,SlidesCarnival,18829
96217,The Math Learning Center,18801
42410,Conjuguemos,18798
17182,iCivics,18781
73323,Turnitin,18667
72676,Kami,18642
70706,Canvas for Chrome,18487
67431,Autodesk,18463
10745,Wonderopolis,18171
55816,Adobe Creative Cloud for Higher Ed,18098
90440,PebbleGo,17805
11585,Think Central,17642
60051,Big Ideas Math,17583
58986,Learning for Justice,17492
77430,Instructure,17415
11313,Toy Theater,17391
22241,History.com,17258
96034,RoomRecess.com,17254
69757,DeltaMath,17251
57343,Formative,17181
42725,myLexia,16951
83118,Legends of Learning,16944
69610,History for Kids,16862
59257,Issuu,16850
36102,Little Alchemy,16658
72703,Better Lesson,16583
78063,ClassLink,16530
76661,WWF ~ World Wildlife Fund,16459
19334,Enchanted Learning,16428
66838,Vooks,16425
76229,Read Theory,16333
35237,Sharp School,16291
35098,SafeYouTube,16177
45716,ClassDojo for Students,16171
35007,Imagine Learning,16099
28525,Renaissance Learning,16065
24396,Math is Fun,15831
99580,"Loom - Video Recorder: Screen, Webcam and Mic",15731
68713,Discovery Education Math Techbook,15600
11910,Pew Research Center,15576
50580,Securly Anywhere Filter,15572
91873,Breakout EDU,15567
81236,Box,15549
71279,DreamBox,15369
45601,Savvas Realize,14905
39841,StudyJams!,14876
30025,LearnZillion,14796
64850,Calendly,14570
54794,MAPP,14524
28633,Discovery Education,14490
22741,TES,14459
79652,iStock,14288
20594,Quill,14205
26248,Studio Code,14189
49094,SchoolTube,14164
75451,United States Holocaust Memorial Museum,14120
37600,Actively Learn,14066
23927,GoGuardian,13937
84217,KQED E-books,13929
30593,Socrative,13852
64124,Learn.Genetics,13797
26970,EngageNY,13723
19181,NoodleTools,13710
39004,TumbleBooks,13659
37948,DocuSign,13651
78247,Fountas & Pinnell,13628
26407,EdOptions Academy,13199
37891,ClassZone,13193
24744,World Book Online,13188
78586,ThingLink,13074
11069,Mr. Donn,13027
65131,Amplify,12978
81127,NASA's Space Place,12886
37373,Pear Deck for Google Slides,12774
20619,Doodle,12600
70167,Microsoft XNA Game Studio,12593
83704,Investopedia,12583
64998,ST Math,12531
63178,LearnPlatform,12474
98402,Reflex Math,12434
46819,Tes Teach,12432
80473,Didax,12407
79578,Flippity,12300
12816,Turtle Diary,12254
71275,Wistia,12171
32032,SignUpGenius,12155
22767,ZOOM Cloud Meetings,11595
50129,i-Ready Mathematics,11500
50626,Microsoft Forms,11232
74174,Wakelet,11219
18982,GoToMeeting,11163
45811,Google Science Journal,11075
48984,SafeSchools,10927
84099,Google Training Center,10812
52448,Google Currents,10798
74653,Studies Weekly,10656
78662,TeacherVision,10505
89688,Teach TCI,10419
50724,myON Reader,10400
28324,i-Ready Reading,9670
99789,Evite,9664
94218,ViewPure,9600
21650,Music Theory,9551
19184,Savvas EasyBridge,9526
29806,Math Worksheets 4 Kids,9440
77320,Lakeshore,9299
32555,Among Us,9243
19750,Whiteboard.fi,9181
48625,CultureGrams,8055
44853,Panorama Education,7625
98468,Jamboard,7571
73104,Achieve3000,7007
56218,School Loop,6881
13282,School Specialty,6816
84342,Blindside Networks,6679
24829,Utah Compose,6671
94954,MasteryConnect,6593
79295,QuaverMusic,5973
72784,Infinite Campus,5855
95767,Hapara,5683
13945,Sched,5615
93376,Cult of Pedagogy,5423
56695,Ellevation,4528
41675,onlinelibrary.uen.org,4383
98128,Blooket,3769
26881,iStation,3758
69706,PoweSchool Performance Matters,3690
21298,ExploreLearning Gizmos,3586
48010,GCN Training,3552
87841,Edpuzzle - Free (Basic Plan),3507
71152,PhET Interactive Science Simulations,2932
54550,Schoolnet,2624
43149,ContentKeeper,2513
